#,Vocabulary,Reading,Type,Meaning,Sentence JP,Sentence EN
520,釣る,つる,"Verb, Godan verb, Transitive verb",to fish,そこでイカを釣るつもりだった。,I was planning to fish for squid there.
521,伝える,つたえる,"Verb, Ichidan verb, Transitive verb",to report; to tell,私は自分の気持ちを伝えるのがにがてです。,I am bad at conveying my emotions.
522,包む,つつむ,"Verb, Godan verb, Transitive verb",to wrap,これをきちんと包んでください。,Please wrap this properly.
523,腕,うで,Noun,arm,あなたのうでは太いですね。,You arm is thick.
524,植える,うえる,"Verb, Ichidan verb, Transitive verb",to plant; to grow,春は木を植えるじきです。,Spring is the time to plant trees.
525,動く,うごく,"Verb, Godan verb, Intransitive verb",to move,彼女は普通にうごいています。,She works normally.
526,伺う,うかがう,"Verb, Godan verb, Transitive verb",to visit,お名前を伺ってもよろしいでしょうか？,May I ask what your name is?
527,受ける,うける,"Verb, Ichidan verb, Transitive verb",to take a lesson or test,私はまだ報告を受けていません。,I still haven't gotten the report.
528,受付,うけつけ,Noun,reception (desk); information desk​,私はクリニックの受付です。,I am the receptionist of the clinic.
529,生まれ,うまれ,Noun,birth,彼は2000年1月生まれです。,He was born in January 2000.
530,運転手,うんてんしゅ,Noun,driver; chauffeur,タクシーの運転手にチップをあげた。,I tipped the taxi driver.
531,裏,うら,Noun,reverse side,その農家の裏には森が続いている。,There is a forest behind the farmhouse.
532,嬉しい,うれしい,"Adjective, い-adjective",happy,あなたが来るだけで私は嬉しい。,I am happy with just you coming.
533,売り場,うりば,Noun,selling area,切符売り場はどこですか。,Where is the ticket booth?
534,嘘,うそ,Noun,a lie,君は嘘をついている？,You're lying right?
535,打つ,うつ,"Verb, Godan verb, Transitive verb",to hit,彼は私のあごを強く打った。,He sloshed me on the chin.
536,美しい,うつくしい,"Adjective, い-adjective",beautiful,私は美しいうみを見たいです。,I want to see the beautiful ocean.
537,移る,うつる,"Verb, Godan verb, Intransitive verb",to move house or transfer,彼はいどうで京都にうつる。,He will move to Kyoto on a transfer.
538,写す,うつす,"Verb, Godan verb, Transitive verb",to copy or photograph,このページをノートに写しておきなさい。,Copy this page in your notebook.
539,ワープロ,,"Noun, Katakana",word processor,父は私にワープロを買ってくれた。,Father bought me a word processor.
540,別れる,わかれる,"Verb, Ichidan verb, Intransitive verb",to separate,私と彼は別れるかもしれません。,He and I might break up.
541,沸かす,わかす,"Verb, Godan verb, Transitive verb",to boil; to heat,私は湯を沸かしていたのを忘れた。,I forgot I'd put the hot water on.
542,沸く,わく,"Verb, Godan verb, Intransitive verb",to boil,私はお湯がわくのを待っている。,I'm waiting for the water to boil.
543,笑う,わらう,"Verb, Godan verb, Intransitive verb",to laugh; to smile,彼はいつも笑っている。,He is always smiling.
544,割れる,われる,"Verb, Ichidan verb, Intransitive verb",to break,我々のおもみで氷が割れるだろう。,The ice will crack beneath our weight.
545,割合,わりあい,Noun,rate; ratio,水とこむぎこを1対3の割合で混ぜてください。,Mix water and flour in the ratio of 1 to 3.
546,忘れ物,わすれもの,Noun,lost article,あなたはいつも忘れ物をしますね。,"You always forget things, right."
547,焼ける,やける,"Verb, Ichidan verb, Intransitive verb",to burn; to be roasted,彼は自分の家が焼けるのを見てりせいを失った。,He lost his reason when he saw his house burn down.
548,焼く,やく,"Verb, Godan verb, Transitive verb",to bake; to grill,母は私の誕生日にケーキを焼いてくれた。,My mother baked a cake for my birthday.
549,役に立つ,やくにたつ,"Verb, Godan verb, Expression",to be helpful,それは僕にとって、とても役に立つ。,That is very helpful for me.
550,約束,やくそく,"Noun, Suru verb",promise,彼は約束を忘れてしまった。,He was oblivious of his promise.
551,止む,やむ,"Verb, Godan verb, Intransitive verb",to stop,雨が止むまで待ちましょう。,Let's wait until it stops raining.
552,やっぱり,,Adverb,as I thought,僕はやっぱりあの曲が好きだ。,I like that song after all.
553,優しい,やさしい,"Adjective, い-adjective",kind,あなたはやさしい人です。,You're a kind person.
554,痩せる,やせる,"Verb, Ichidan verb, Intransitive verb",to become thin,あなたは瘦せる気がないのですか？,Do you not want to lose weight?
555,柔らかい,やわらかい,"Adjective, い-adjective",soft,それは甘くて柔らかいです。,That is sweet and soft.
556,汚れる,よごれる,"Verb, Ichidan verb, Intransitive verb",to get dirty,夫はバーベキューで汚れた庭をきれいにしました。,My husband cleaned the dirty garden at the barbecue.
557,喜ぶ,よろこぶ,"Verb, Godan verb",to be delighted,あなたのてがみを読んだら彼は喜ぶでしょう。,I'm sure he will be happy when he reads your letter.
558,寄る,よる,"Verb, Godan verb, Intransitive verb",to visit; to drop by,私は帰り道によくコンビニエンスストアに寄る。,I often stop at the convenience store on my way home.
559,予習,よしゅう,"Noun, Verb, Suru verb",preparation for a lesson,学課の予習をしなさい。,Prepare your lessons.
560,予定,よてい,"Noun, Suru verb",plan,その旅行のよていは決まりましたか？,Have you decided on your trip schedule?
561,用,よう,"Noun, Suffix",business; task; errand; use; purpose,ほかに用がある。,I have other things to do.
562,用意,ようい,"Noun, Verb, Suru verb",preparation; arrangements; provision; getting ready,用意はいいですか。,Are you ready?
563,用事,ようじ,Noun,tasks; things to do; errand; business (to take care of),先生は今日用事があります。,The teacher is busy today.
564,予約,よやく,"Noun, Suru verb",reservation,私は予約したチケットを受け取りたい。,I want to get the tickets that I reserved.
565,湯,ゆ,Noun,hot water,私の部屋のシャワーはお湯が出ません。,Hot water won't come out of the shower in my place.
566,指,ゆび,Noun,finger,このゆびわは大きすぎて私の指に合わない。,This ring is too big to wear on my finger.
567,指輪,ゆびわ,Noun,finger ring,この指輪は大きすぎて私の指に合わない。,This ring is too big to wear on my finger.
568,夢,ゆめ,Noun,dream,私の将来の夢はまだないです。,I still don't have a future dream.
569,揺れる,ゆれる,"Verb, Ichidan verb, Intransitive verb",to shake,僕は家が少し揺れるのを感じたが、君は？,I felt the house shake a little. Didn't you?
570,残念,ざんねん,"Noun, Adjective, な-adjective",regrettable; unfortunate,これはとても残念なけっかである。,This is a truly unfortunate result.
571,全然,ぜんぜん,Adverb,not entirely (used in a negative sentence),私はぜんぜん疲れていません。,I'm not at all tired.
